,Date,Close,Open,High,Low
1237,09/03/2020,2746.56,2863.89,2863.89,2734.43
1238,06/03/2020,2972.37,2954.2,2985.93,2901.54
1239,05/03/2020,3023.94,3075.7,3083.04,2999.83
1240,04/03/2020,3130.12,3045.75,3130.97,3034.38
1241,03/03/2020,3003.37,3096.46,3136.72,2976.63
1242,02/03/2020,3090.23,2974.28,3090.96,2945.19
1243,28/02/2020,2954.22,2916.9,2959.72,2855.84
1244,27/02/2020,2978.76,3062.54,3097.07,2977.39
1245,26/02/2020,3116.39,3139.9,3182.51,3108.99
1246,25/02/2020,3128.21,3238.94,3246.99,3118.77
1247,24/02/2020,3225.89,3257.61,3259.81,3214.65
1248,21/02/2020,3337.75,3360.5,3360.76,3328.45
1249,20/02/2020,3373.23,3380.45,3389.15,3341.02
1250,19/02/2020,3386.15,3380.39,3393.52,3378.83
1251,18/02/2020,3370.29,3369.04,3375.01,3355.61
1252,14/02/2020,3380.16,3378.08,3380.69,3366.15
1253,13/02/2020,3373.94,3365.9,3385.09,3360.52
1254,12/02/2020,3379.45,3370.5,3381.47,3369.72
1255,11/02/2020,3357.75,3365.87,3375.63,3352.72
1256,10/02/2020,3352.09,3318.28,3352.26,3317.77
1257,07/02/2020,3327.71,3335.54,3341.42,3322.12
1258,06/02/2020,3345.78,3344.92,3347.96,3334.39
1259,05/02/2020,3334.69,3324.91,3337.58,3313.75
1260,04/02/2020,3297.59,3280.61,3306.92,3280.61
1261,03/02/2020,3248.92,3235.66,3268.44,3235.66
1262,31/01/2020,3225.52,3282.33,3282.33,3214.68
1263,30/01/2020,3283.66,3256.45,3285.91,3242.8
1264,29/01/2020,3273.4,3289.46,3293.47,3271.89
1265,28/01/2020,3276.24,3255.35,3285.78,3253.22
1266,27/01/2020,3243.63,3247.16,3258.85,3234.5
1267,24/01/2020,3295.47,3333.1,3333.18,3281.53
1268,23/01/2020,3325.54,3315.77,3326.88,3301.87
1269,22/01/2020,3321.75,3330.02,3337.77,3320.04
1270,21/01/2020,3320.79,3321.03,3329.79,3316.61
1271,17/01/2020,3329.62,3323.66,3329.88,3318.86
1272,16/01/2020,3316.81,3302.97,3317.11,3302.82
1273,15/01/2020,3289.29,3282.27,3298.66,3280.69
1274,14/01/2020,3283.15,3285.35,3294.25,3277.19
1275,13/01/2020,3288.13,3271.13,3288.13,3268.43
1276,10/01/2020,3265.35,3281.81,3282.99,3260.86
1277,09/01/2020,3274.7,3266.03,3275.58,3263.67
1278,08/01/2020,3253.05,3238.59,3267.07,3236.67
1279,07/01/2020,3237.18,3241.86,3244.91,3232.43
1280,06/01/2020,3246.28,3217.55,3246.84,3214.64
1281,03/01/2020,3234.85,3226.36,3246.15,3222.34
1282,02/01/2020,3257.85,3244.67,3258.14,3235.53
1283,31/12/2019,3230.78,3215.18,3231.72,3212.03
1284,30/12/2019,3221.29,3240.09,3240.92,3216.57
1285,27/12/2019,3240.02,3247.23,3247.93,3234.37
1286,26/12/2019,3239.91,3227.2,3240.08,3227.2
1287,24/12/2019,3223.38,3225.45,3226.43,3220.51
1288,23/12/2019,3224.01,3226.05,3227.78,3222.3
1289,20/12/2019,3221.22,3223.33,3225.65,3216.03
1290,19/12/2019,3205.37,3192.32,3205.48,3192.32
1291,18/12/2019,3191.14,3195.21,3198.48,3191.14
1292,17/12/2019,3192.52,3195.4,3198.22,3191.03
1293,16/12/2019,3191.45,3183.63,3197.71,3183.63
1294,13/12/2019,3168.8,3166.65,3182.68,3156.51
1295,12/12/2019,3168.57,3141.23,3176.28,3138.47
1296,11/12/2019,3141.63,3135.75,3143.98,3133.21
1297,10/12/2019,3132.52,3135.36,3142.12,3126.09
1298,09/12/2019,3135.96,3141.86,3148.87,3135.46
1299,06/12/2019,3145.91,3134.62,3150.6,3134.62
1300,05/12/2019,3117.43,3119.21,3119.45,3103.76
1301,04/12/2019,3112.76,3103.5,3119.38,3102.53
1302,03/12/2019,3093.2,3087.41,3094.97,3070.33
1303,02/12/2019,3113.87,3143.85,3144.31,3110.78
1304,29/11/2019,3140.98,3147.18,3150.3,3139.34
1305,27/11/2019,3153.63,3145.49,3154.26,3143.41
1306,26/11/2019,3140.52,3134.85,3142.69,3131.0
1307,25/11/2019,3133.64,3117.44,3133.83,3117.44
1308,22/11/2019,3110.29,3111.41,3112.87,3099.26
1309,21/11/2019,3103.54,3108.49,3110.11,3094.55
1310,20/11/2019,3108.46,3114.66,3118.97,3091.41
